,id,gloss,stem,actual_phonology,model_phonology,type,language,num_morphemes,num_tokens,utterance_order,corpus_name,part_of_speech,speaker_code,speaker_name,speaker_role,target_child_name,target_child_age,target_child_sex,media_start,media_end,media_unit,collection_name,collection_id,corpus_id,speaker_id,target_child_id,transcript_id
459787,8709810,there it is,there it be,,,declarative,eng,4,3,1,Manchester,adv pro:per cop,MOT,Mother,Mother,CHI,33.132097168319675,female,,,,Eng-UK,12,219,15460,15452,24436
459801,8709824,it's gone now,it go now,,,declarative,eng,5,3,2,Manchester,pro:per part adv,CHI,CHI,Target_Child,CHI,33.132097168319675,female,,,,Eng-UK,12,219,15452,15452,24436
459814,8709837,oh,oh,,,declarative,eng,1,1,3,Manchester,co,MOT,Mother,Mother,CHI,33.132097168319675,female,,,,Eng-UK,12,219,15460,15452,24436
459827,8709850,is it a boy or a girl,be it a boy or a girl,,,question,eng,8,7,4,Manchester,aux pro:per det:art n coord det:art n,MOT,Mother,Mother,CHI,33.132097168319675,female,,,,Eng-UK,12,219,15460,15452,24436
459843,8709866,a a boy,a boy,,,declarative,eng,2,3,5,Manchester,det:art n,CHI,CHI,Target_Child,CHI,33.132097168319675,female,,,,Eng-UK,12,219,15452,15452,24436
459858,8709881,a boy,a boy,,,declarative,eng,2,2,6,Manchester,det:art n,MOT,Mother,Mother,CHI,33.132097168319675,female,,,,Eng-UK,12,219,15460,15452,24436
459868,8709891,and what's he called,and what he call,,,question,eng,6,4,7,Manchester,coord pro:int pro:sub v,MOT,Mother,Mother,CHI,33.132097168319675,female,,,,Eng-UK,12,219,15460,15452,24436
459881,8709904,has he got a name,have he get a name,,,question,eng,7,5,8,Manchester,v pro:sub v det:art n,MOT,Mother,Mother,CHI,33.132097168319675,female,,,,Eng-UK,12,219,15460,15452,24436
459895,8709918,no,no,,,question,eng,1,1,9,Manchester,co,MOT,Mother,Mother,CHI,33.132097168319675,female,,,,Eng-UK,12,219,15460,15452,24436
459908,8709931,that's okay,that okay,,,declarative,eng,3,2,10,Manchester,pro:dem adj,MOT,Mother,Mother,CHI,33.132097168319675,female,,,,Eng-UK,12,219,15460,15452,24436
459920,8709943,yeah,yeah,,,declarative,eng,1,1,11,Manchester,co,CHI,CHI,Target_Child,CHI,33.132097168319675,female,,,,Eng-UK,12,219,15452,15452,24436
459934,8709957,Kate,Kate,,,declarative,eng,1,1,12,Manchester,n:prop,CHI,CHI,Target_Child,CHI,33.132097168319675,female,,,,Eng-UK,12,219,15452,15452,24436
459947,8709970,Kate,Kate,,,declarative,eng,1,1,13,Manchester,n:prop,MOT,Mother,Mother,CHI,33.132097168319675,female,,,,Eng-UK,12,219,15460,15452,24436
459961,8709984,that's nice,that nice,,,declarative,eng,3,2,14,Manchester,pro:dem adj,MOT,Mother,Mother,CHI,33.132097168319675,female,,,,Eng-UK,12,219,15460,15452,24436
459976,8709999,I I just seen Kate,I just see Kate,,,declarative,eng,5,5,15,Manchester,pro:sub adv part n:prop,CHI,CHI,Target_Child,CHI,33.132097168319675,female,,,,Eng-UK,12,219,15452,15452,24436
459987,8710010,mhm,mhm,,,declarative,eng,1,1,16,Manchester,co,MOT,Mother,Mother,CHI,33.132097168319675,female,,,,Eng-UK,12,219,15460,15452,24436
459994,8710017,at my school,at my school,,,declarative,eng,3,3,17,Manchester,prep det:poss n,CHI,CHI,Target_Child,CHI,33.132097168319675,female,,,,Eng-UK,12,219,15452,15452,24436
460006,8710029,yes,yes,,,declarative,eng,1,1,18,Manchester,co,MOT,Mother,Mother,CHI,33.132097168319675,female,,,,Eng-UK,12,219,15460,15452,24436
460017,8710040,she's your friend isn't she,she your friend be she,,,question,eng,8,5,19,Manchester,pro:sub det:poss n cop pro:sub,MOT,Mother,Mother,CHI,33.132097168319675,female,,,,Eng-UK,12,219,15460,15452,24436
